Date,Product Name,Units Sold,Unit Price
1/1/2023,3x3 Classic Cube,92,10
1/1/2023,2x2 Mini Cube,173,7
1/1/2023,4x4 Master Cube,150,15
1/1/2023,5x5 Professor Cube,267,20
1/1/2023,Pyraminx,389,8
1/1/2023,Megaminx,473,18
1/1/2023,Mirror Cube,303,12
1/1/2023,Ghost Cube,356,25
1/1/2023,Fisher Cube,282,14
1/1/2023,Windmill Cube,495,13
2/1/2023,3x3 Classic Cube,97,10
2/1/2023,2x2 Mini Cube,195,7
2/1/2023,4x4 Master Cube,487,15
2/1/2023,5x5 Professor Cube,184,20
2/1/2023,Pyraminx,273,8
2/1/2023,Megaminx,478,18
2/1/2023,Mirror Cube,469,12
2/1/2023,Ghost Cube,336,25
2/1/2023,Fisher Cube,209,14
2/1/2023,Windmill Cube,462,13
3/1/2023,3x3 Classic Cube,283,10
3/1/2023,2x2 Mini Cube,118,7
3/1/2023,4x4 Master Cube,322,15
3/1/2023,5x5 Professor Cube,376,20
3/1/2023,Pyraminx,382,8
3/1/2023,Megaminx,207,18
3/1/2023,Mirror Cube,283,12
3/1/2023,Ghost Cube,426,25
3/1/2023,Fisher Cube,93,14
3/1/2023,Windmill Cube,169,13
4/1/2023,3x3 Classic Cube,82,10
4/1/2023,2x2 Mini Cube,458,7
4/1/2023,4x4 Master Cube,153,15
4/1/2023,5x5 Professor Cube,11,20
4/1/2023,Pyraminx,349,8
4/1/2023,Megaminx,156,18
4/1/2023,Mirror Cube,491,12
4/1/2023,Ghost Cube,148,25
4/1/2023,Fisher Cube,71,14
4/1/2023,Windmill Cube,129,13
5/1/2023,3x3 Classic Cube,437,10
5/1/2023,2x2 Mini Cube,450,7
5/1/2023,4x4 Master Cube,225,15
5/1/2023,5x5 Professor Cube,126,20
5/1/2023,Pyraminx,54,8
5/1/2023,Megaminx,38,18
5/1/2023,Mirror Cube,233,12
5/1/2023,Ghost Cube,107,25
5/1/2023,Fisher Cube,446,14
5/1/2023,Windmill Cube,269,13
6/1/2023,3x3 Classic Cube,406,10
6/1/2023,2x2 Mini Cube,120,7
6/1/2023,4x4 Master Cube,132,15
6/1/2023,5x5 Professor Cube,240,20
6/1/2023,Pyraminx,186,8
6/1/2023,Megaminx,10,18
6/1/2023,Mirror Cube,213,12
6/1/2023,Ghost Cube,327,25
6/1/2023,Fisher Cube,459,14
6/1/2023,Windmill Cube,375,13
7/1/2023,3x3 Classic Cube,104,10
7/1/2023,2x2 Mini Cube,134,7
7/1/2023,4x4 Master Cube,215,15
7/1/2023,5x5 Professor Cube,33,20
7/1/2023,Pyraminx,213,8
7/1/2023,Megaminx,252,18
7/1/2023,Mirror Cube,244,12
7/1/2023,Ghost Cube,131,25
7/1/2023,Fisher Cube,88,14
7/1/2023,Windmill Cube,53,13
8/1/2023,3x3 Classic Cube,251,10
8/1/2023,2x2 Mini Cube,333,7
8/1/2023,4x4 Master Cube,208,15
8/1/2023,5x5 Professor Cube,373,20
8/1/2023,Pyraminx,383,8
8/1/2023,Megaminx,484,18
8/1/2023,Mirror Cube,242,12
8/1/2023,Ghost Cube,314,25
8/1/2023,Fisher Cube,178,14
8/1/2023,Windmill Cube,353,13
9/1/2023,3x3 Classic Cube,399,10
9/1/2023,2x2 Mini Cube,247,7
9/1/2023,4x4 Master Cube,222,15
9/1/2023,5x5 Professor Cube,20,20
9/1/2023,Pyraminx,386,8
9/1/2023,Megaminx,223,18
9/1/2023,Mirror Cube,431,12
9/1/2023,Ghost Cube,294,25
9/1/2023,Fisher Cube,102,14
9/1/2023,Windmill Cube,169,13
10/1/2023,3x3 Classic Cube,375,10
10/1/2023,2x2 Mini Cube,35,7
10/1/2023,4x4 Master Cube,136,15
10/1/2023,5x5 Professor Cube,158,20
10/1/2023,Pyraminx,16,8
10/1/2023,Megaminx,58,18
10/1/2023,Mirror Cube,233,12
10/1/2023,Ghost Cube,187,25
10/1/2023,Fisher Cube,158,14
10/1/2023,Windmill Cube,169,13
11/1/2023,3x3 Classic Cube,482,10
11/1/2023,2x2 Mini Cube,86,7
11/1/2023,4x4 Master Cube,159,15
11/1/2023,5x5 Professor Cube,340,20
11/1/2023,Pyraminx,203,8
11/1/2023,Megaminx,223,18
11/1/2023,Mirror Cube,44,12
11/1/2023,Ghost Cube,245,25
11/1/2023,Fisher Cube,371,14
11/1/2023,Windmill Cube,429,13
12/1/2023,3x3 Classic Cube,357,10
12/1/2023,2x2 Mini Cube,338,7
12/1/2023,4x4 Master Cube,141,15
12/1/2023,5x5 Professor Cube,234,20
12/1/2023,Pyraminx,14,8
12/1/2023,Megaminx,247,18
12/1/2023,Mirror Cube,58,12
12/1/2023,Ghost Cube,370,25
12/1/2023,Fisher Cube,56,14
12/1/2023,Windmill Cube,223,13
