Date,Product Name,Units Sold,Unit Price
1/1/2025,3x3 Classic Cube,413,10
1/1/2025,2x2 Mini Cube,366,7
1/1/2025,4x4 Master Cube,101,15
1/1/2025,5x5 Professor Cube,273,20
1/1/2025,Pyraminx,74,8
1/1/2025,Megaminx,201,18
1/1/2025,Mirror Cube,437,12
1/1/2025,Ghost Cube,271,25
1/1/2025,Fisher Cube,59,14
1/1/2025,Windmill Cube,94,13
2/1/2025,3x3 Classic Cube,151,10
2/1/2025,2x2 Mini Cube,275,7
2/1/2025,4x4 Master Cube,222,15
2/1/2025,5x5 Professor Cube,341,20
2/1/2025,Pyraminx,131,8
2/1/2025,Megaminx,377,18
2/1/2025,Mirror Cube,474,12
2/1/2025,Ghost Cube,122,25
2/1/2025,Fisher Cube,422,14
2/1/2025,Windmill Cube,114,13
3/1/2025,3x3 Classic Cube,53,10
3/1/2025,2x2 Mini Cube,174,7
3/1/2025,4x4 Master Cube,342,15
3/1/2025,5x5 Professor Cube,403,20
3/1/2025,Pyraminx,454,8
3/1/2025,Megaminx,70,18
3/1/2025,Mirror Cube,188,12
3/1/2025,Ghost Cube,442,25
3/1/2025,Fisher Cube,320,14
3/1/2025,Windmill Cube,316,13
4/1/2025,3x3 Classic Cube,460,10
4/1/2025,2x2 Mini Cube,198,7
4/1/2025,4x4 Master Cube,164,15
4/1/2025,5x5 Professor Cube,428,20
4/1/2025,Pyraminx,444,8
4/1/2025,Megaminx,280,18
4/1/2025,Mirror Cube,285,12
4/1/2025,Ghost Cube,377,25
4/1/2025,Fisher Cube,361,14
4/1/2025,Windmill Cube,87,13
5/1/2025,3x3 Classic Cube,52,10
5/1/2025,2x2 Mini Cube,291,7
5/1/2025,4x4 Master Cube,222,15
5/1/2025,5x5 Professor Cube,304,20
5/1/2025,Pyraminx,298,8
5/1/2025,Megaminx,117,18
5/1/2025,Mirror Cube,327,12
5/1/2025,Ghost Cube,200,25
5/1/2025,Fisher Cube,400,14
5/1/2025,Windmill Cube,235,13
6/1/2025,3x3 Classic Cube,62,10
6/1/2025,2x2 Mini Cube,226,7
6/1/2025,4x4 Master Cube,130,15
6/1/2025,5x5 Professor Cube,301,20
6/1/2025,Pyraminx,321,8
6/1/2025,Megaminx,480,18
6/1/2025,Mirror Cube,206,12
6/1/2025,Ghost Cube,206,25
6/1/2025,Fisher Cube,259,14
6/1/2025,Windmill Cube,54,13
7/1/2025,3x3 Classic Cube,260,10
7/1/2025,2x2 Mini Cube,86,7
7/1/2025,4x4 Master Cube,121,15
7/1/2025,5x5 Professor Cube,130,20
7/1/2025,Pyraminx,456,8
7/1/2025,Megaminx,59,18
7/1/2025,Mirror Cube,241,12
7/1/2025,Ghost Cube,207,25
7/1/2025,Fisher Cube,36,14
7/1/2025,Windmill Cube,112,13
8/1/2025,3x3 Classic Cube,101,10
8/1/2025,2x2 Mini Cube,125,7
8/1/2025,4x4 Master Cube,184,15
8/1/2025,5x5 Professor Cube,333,20
8/1/2025,Pyraminx,381,8
8/1/2025,Megaminx,97,18
8/1/2025,Mirror Cube,20,12
8/1/2025,Ghost Cube,184,25
8/1/2025,Fisher Cube,380,14
8/1/2025,Windmill Cube,60,13
9/1/2025,3x3 Classic Cube,233,10
9/1/2025,2x2 Mini Cube,335,7
9/1/2025,4x4 Master Cube,429,15
9/1/2025,5x5 Professor Cube,326,20
9/1/2025,Pyraminx,500,8
9/1/2025,Megaminx,401,18
9/1/2025,Mirror Cube,235,12
9/1/2025,Ghost Cube,125,25
9/1/2025,Fisher Cube,52,14
9/1/2025,Windmill Cube,298,13
10/1/2025,3x3 Classic Cube,384,10
10/1/2025,2x2 Mini Cube,221,7
10/1/2025,4x4 Master Cube,481,15
10/1/2025,5x5 Professor Cube,200,20
10/1/2025,Pyraminx,245,8
10/1/2025,Megaminx,373,18
10/1/2025,Mirror Cube,408,12
10/1/2025,Ghost Cube,59,25
10/1/2025,Fisher Cube,156,14
10/1/2025,Windmill Cube,106,13
11/1/2025,3x3 Classic Cube,110,10
11/1/2025,2x2 Mini Cube,325,7
11/1/2025,4x4 Master Cube,252,15
11/1/2025,5x5 Professor Cube,310,20
11/1/2025,Pyraminx,474,8
11/1/2025,Megaminx,492,18
11/1/2025,Mirror Cube,243,12
11/1/2025,Ghost Cube,172,25
11/1/2025,Fisher Cube,132,14
11/1/2025,Windmill Cube,308,13
12/1/2025,3x3 Classic Cube,76,10
12/1/2025,2x2 Mini Cube,87,7
12/1/2025,4x4 Master Cube,460,15
12/1/2025,5x5 Professor Cube,450,20
12/1/2025,Pyraminx,21,8
12/1/2025,Megaminx,135,18
12/1/2025,Mirror Cube,203,12
12/1/2025,Ghost Cube,280,25
12/1/2025,Fisher Cube,83,14
12/1/2025,Windmill Cube,412,13
